KundeNr,Niederlassung
K1779,Baden-Württemberg
K1780,Hessen
K1781,Bayern
K1783,Niedersachsen
K1784,Bayern
K1785,Baden-Württemberg
K1786,Baden-Württemberg
K1787,Baden-Württemberg
K1788,Baden-Württemberg
K1789,Baden-Württemberg
K1790,Bayern
K1791,Bayern
K1792,Thüringen
K1793,Bayern
K1794,Baden-Württemberg
K1795,Hamburg
K1797,Niedersachsen
K1798,Bayern
K1799,Hessen
K1800,Niedersachsen
K1802,Niedersachsen
K1805,Hessen
K1807,Niedersachsen
K1809,Baden-Württemberg
K1810,Thüringen
K1811,Baden-Württemberg
K1814,Bayern
K1816,Baden-Württemberg
K1818,Baden-Württemberg
K1819,Bayern
K1821,Thüringen
K1822,Thüringen
K1823,Baden-Württemberg
K1825,Baden-Württemberg
K1826,Baden-Württemberg
K1827,Baden-Württemberg
K1828,Thüringen
K1829,Sachsen
K1830,Baden-Württemberg
K1831,Baden-Württemberg
K1832,Bayern
K1833,Hamburg
K1834,Hessen
K1835,Bayern
K1837,Bayern
K1838,Sachsen
K1839,Niedersachsen
K1843,Bayern
K1844,Bayern
K1845,Sachsen
K1846,Baden-Württemberg
K1847,Baden-Württemberg
K1851,Sachsen
K1852,Hamburg
K1853,Baden-Württemberg
K1854,Hessen
K1856,Baden-Württemberg
K1857,Baden-Württemberg
K1858,Baden-Württemberg
K1859,Hessen
K1860,Sachsen
K1861,Niedersachsen
K1862,Thüringen
K1863,Baden-Württemberg
K1864,Sachsen
K1866,Bayern
K1867,Thüringen
K1868,Bayern
K1869,Sachsen
K1870,Sachsen
K1872,Hessen
K1873,Baden-Württemberg
K1874,Hamburg
K1875,Bayern
K1878,Sachsen
K1879,Baden-Württemberg
K1881,Sachsen
K1883,Baden-Württemberg
K1884,Baden-Württemberg
K1885,Baden-Württemberg
K1886,Hessen
K1887,Hessen
K1888,Thüringen
K1890,Bayern
K1891,Hessen
K1893,Sachsen
K1896,Niedersachsen
K1898,Brandenburg
K1899,Bayern
K1900,Baden-Württemberg
K1901,Baden-Württemberg
K1902,Niedersachsen
K1903,Baden-Württemberg
K1904,Bayern
K1905,Bayern
K1906,Hessen
K1908,Niedersachsen
K1909,Baden-Württemberg
K1910,Baden-Württemberg
K1911,Brandenburg
K1912,Bayern
K1913,Bayern
K1914,Baden-Württemberg
K1915,Sachsen
K1916,Niedersachsen
K1917,Baden-Württemberg
K1918,Baden-Württemberg
K1919,Thüringen
K1920,Niedersachsen
K1922,Niedersachsen
K1927,Baden-Württemberg
K1928,Sachsen
K1929,Hessen
K1930,Bayern
K1931,Sachsen
K1932,Sachsen
K1933,Thüringen
K1935,Thüringen
K1936,Bayern
K1939,Bayern
K1940,Baden-Württemberg
K1941,Thüringen
K1942,Bayern
K1944,Baden-Württemberg
K1945,Baden-Württemberg
K1947,Bayern
K1948,Niedersachsen
K1949,Hessen
K1950,Baden-Württemberg
K1951,Baden-Württemberg
K1953,Baden-Württemberg
K1956,Baden-Württemberg
K1957,Brandenburg
K1958,Baden-Württemberg
K1959,Baden-Württemberg
K1960,Bayern
K1962,Sachsen
K1964,Bayern
K1965,Bayern
K1966,Hamburg
K1968,Thüringen
K1969,Baden-Württemberg
K1970,Baden-Württemberg
K1971,Niedersachsen
K1974,Niedersachsen
K1975,Thüringen
K1976,Hamburg
K1977,Sachsen
K1978,Thüringen
K1980,Bayern
K1981,Baden-Württemberg
K1982,Hamburg
K1985,Baden-Württemberg
K1986,Bayern
K1988,Baden-Württemberg
K1989,Bayern
K1991,Hessen
K1992,Baden-Württemberg
K1995,Sachsen
